"scientific_name"	"datetime"	"description"	"place_guess"	"latitude"	"longitude"	"tag_list"	"common_name"	"url"	"image_url"	"user_login"	"id"	"species_guess"	"iconic_taxon_name"	"taxon_id"	"num_identification_agreements"	"num_identification_disagreements"	"observed_on_string"	"observed_on"	"time_observed_at"	"time_zone"	"positional_accuracy"	"public_positional_accuracy"	"geoprivacy"	"taxon_geoprivacy"	"coordinates_obscured"	"positioning_method"	"positioning_device"	"user_id"	"user_name"	"created_at"	"updated_at"	"quality_grade"	"license"	"sound_url"	"oauth_application_id"	"captive_cultivated"
"Vulpes vulpes"	"2025-01-11 20:45:00 -0500"	""	"Hamilton, ON, Canada"	43.198967047	-80.1000987113	""	"Red Fox"	"https://www.inaturalist.org/observations/258686316"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464188753/medium.jpg"	"squidface"	258686316	"Red Fox"	"Mammalia"	42069	0	0	"2025/01/11 8:45 PM"	"2025-01-11"	"2025-01-12 01:45:00 UTC"	"Eastern Time (US & Canada)"	58	58	""	"open"	"false"	""	""	2020197	""	"2025-01-16 21:59:21 UTC"	"2025-01-16 22:15:48 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-16 14:58:24 -0600"	"Saw a pair of red foxes chasing turkeys around the yard"	"Woodbury, MN 55125, USA"	44.9305706	-92.9416569	""	"Red Fox"	"https://www.inaturalist.org/observations/258682032"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464180259/medium.jpeg"	"jorglueke"	258682032	"Red Fox"	"Mammalia"	42069	1	0	"2025-01-16 14:58:24"	"2025-01-16"	"2025-01-16 20:58:24 UTC"	"Central Time (US & Canada)"	49	49	""	"open"	"false"	""	""	4398244	""	"2025-01-16 20:58:47 UTC"	"2025-01-17 00:34:56 UTC"	"research"	"CC-BY-NC"	""	2	"false"
"Vulpes vulpes"	"2025-01-16 14:05:00 -0500"	""	"Greenville, DE 19807, USA"	39.7679748591	-75.6033738703	""	"Red Fox"	"https://www.inaturalist.org/observations/258674871"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464164999/medium.jpeg"	"proth"	258674871	"Red Fox"	"Mammalia"	42069	1	0	"2025-01-16 14:05:00"	"2025-01-16"	"2025-01-16 19:05:00 UTC"	"Eastern Time (US & Canada)"	26	26	""	"open"	"false"	"gps"	"gps"	531844	""	"2025-01-16 19:24:25 UTC"	"2025-01-16 19:27:09 UTC"	"research"	"CC-BY-NC"	""	2	"false"
"Vulpes vulpes"	"2025-01-16 13:43:07 -0500"	""	"Maryland, US"	39.0938926266	-76.9223123349	""	"Red Fox"	"https://www.inaturalist.org/observations/258671995"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464159747/medium.jpeg"	"epic2112"	258671995	"Red Fox"	"Mammalia"	42069	0	0	"2025-01-16 13:43:07"	"2025-01-16"	"2025-01-16 18:43:07 UTC"	"Eastern Time (US & Canada)"	NA	28151	"obscured"	"open"	"true"	"gps"	"gps"	2895175	""	"2025-01-16 18:48:37 UTC"	"2025-01-16 20:30:55 UTC"	"research"	"CC-BY-NC"	""	2	"false"
"Vulpes vulpes"	"2025-01-16 17:40:35 +0000"	""	"Hyde Park, London, England, GB"	51.5035783333	-0.1570361667	""	"Red Fox"	"https://www.inaturalist.org/observations/258671378"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464158527/medium.jpg"	"kirbyz16"	258671378	"Red Fox"	"Mammalia"	42069	3	1	"2025-01-16 17:40:35Z"	"2025-01-16"	"2025-01-16 17:40:35 UTC"	"London"	9	9	""	"open"	"false"	""	""	5854211	""	"2025-01-16 18:41:10 UTC"	"2025-01-17 01:37:17 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2025-01-16 11:16:00 -0500"	""	"Connecticut, US"	41.3935204296	-73.1118050699	""	"Red Fox"	"https://www.inaturalist.org/observations/258669602"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464155366/medium.jpg"	"andrewm77"	258669602	"Red Fox"	"Mammalia"	42069	1	0	"2025-01-16 11:16:00-05:00"	"2025-01-16"	"2025-01-16 16:16:00 UTC"	"Eastern Time (US & Canada)"	5	27816	"obscured"	"open"	"true"	""	""	2831928	""	"2025-01-16 18:21:02 UTC"	"2025-01-17 00:28:50 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2025-01-15 16:24:00 -0500"	""	"Connecticut, US"	41.3594695606	-73.035600228	""	"Red Fox"	"https://www.inaturalist.org/observations/258669590"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464155318/medium.jpg"	"andrewm77"	258669590	"Red Fox"	"Mammalia"	42069	2	0	"2025-01-15 16:24:00-05:00"	"2025-01-15"	"2025-01-15 21:24:00 UTC"	"Eastern Time (US & Canada)"	5	27816	"obscured"	"open"	"true"	""	""	2831928	""	"2025-01-16 18:20:43 UTC"	"2025-01-17 00:28:39 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2025-01-16 15:58:00 +0000"	"Copulating pair."	"Maple Cross, UK"	51.6306172412	-0.5086287353	"Mammals, Fox, Woodoaks Farm"	"Red Fox"	"https://www.inaturalist.org/observations/258666534"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464149051/medium.jpg"	"birdmanuk68"	258666534	"Red Fox"	"Mammalia"	42069	4	0	"2025/01/16 3:58 PM"	"2025-01-16"	"2025-01-16 15:58:00 UTC"	"London"	4	4	""	"open"	"false"	""	""	1029261	"Paul Lewis"	"2025-01-16 17:40:39 UTC"	"2025-01-17 01:40:08 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-16 11:56:00 +0100"	""	"Vorpommern-Rügen, DE-MV, DE"	54.3538929943	13.0602175829	""	"Red Fox"	"https://www.inaturalist.org/observations/258661891"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464137522/medium.jpeg"	"haddie_photography"	258661891	"Rotfuchs"	"Mammalia"	42069	2	0	"2025/01/16 11:56 AM"	"2025-01-16"	"2025-01-16 10:56:00 UTC"	"Berlin"	2	25749	"obscured"	"open"	"true"	""	""	7914736	"Haddie Schal"	"2025-01-16 16:32:39 UTC"	"2025-01-17 01:48:00 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:02:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2634228771	-76.583990091	""	"Red Fox"	"https://www.inaturalist.org/observations/258656411"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128948/medium.jpg"	"nationalaquarium"	258656411	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:02 PM"	"2025-01-15"	"2025-01-15 18:02:00 UTC"	"Eastern Time (US & Canada)"	59	59	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:31 UTC"	"2025-01-17 00:30:12 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:06:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2634228771	-76.583990091	""	"Red Fox"	"https://www.inaturalist.org/observations/258656410"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128766/medium.jpg"	"nationalaquarium"	258656410	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:06 PM"	"2025-01-15"	"2025-01-15 18:06:00 UTC"	"Eastern Time (US & Canada)"	59	59	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:30 UTC"	"2025-01-17 00:30:06 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:07:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2634228771	-76.583990091	""	"Red Fox"	"https://www.inaturalist.org/observations/258656409"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128764/medium.jpg"	"nationalaquarium"	258656409	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:07 PM"	"2025-01-15"	"2025-01-15 18:07:00 UTC"	"Eastern Time (US & Canada)"	59	59	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:30 UTC"	"2025-01-17 00:29:54 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:08:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2634228771	-76.583990091	""	"Red Fox"	"https://www.inaturalist.org/observations/258656408"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128753/medium.jpg"	"nationalaquarium"	258656408	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:08 PM"	"2025-01-15"	"2025-01-15 18:08:00 UTC"	"Eastern Time (US & Canada)"	59	59	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:29 UTC"	"2025-01-17 00:30:00 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:08:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2634228771	-76.583990091	""	"Red Fox"	"https://www.inaturalist.org/observations/258656407"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128742/medium.jpg"	"nationalaquarium"	258656407	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:08 PM"	"2025-01-15"	"2025-01-15 18:08:00 UTC"	"Eastern Time (US & Canada)"	59	59	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:29 UTC"	"2025-01-17 00:29:46 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-15 13:08:00 -0500"	""	"Locust Point Industrial Area, Baltimore, MD 21230, USA"	39.2633032515	-76.5840102544	""	"Red Fox"	"https://www.inaturalist.org/observations/258656406"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464128659/medium.jpg"	"nationalaquarium"	258656406	"Red Fox"	"Mammalia"	42069	1	0	"2025/01/15 1:08 PM"	"2025-01-15"	"2025-01-15 18:08:00 UTC"	"Eastern Time (US & Canada)"	65	65	""	"open"	"false"	""	""	40963	"National Aquarium"	"2025-01-16 15:20:29 UTC"	"2025-01-17 00:29:38 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-16 16:22:41 +0300"	""	"<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>, 121552"	55.7545246	37.4481718	""	"Red Fox"	"https://www.inaturalist.org/observations/258652478"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464121361/medium.jpeg"	"goldenbird"	258652478	"<U+041E><U+0431><U+044B><U+043A><U+043D><U+043E><U+0432><U+0435><U+043D><U+043D><U+0430><U+044F> <U+043B><U+0438><U+0441><U+0438><U+0446><U+0430>"	"Mammalia"	42069	0	0	"2025-01-16 16:22:41"	"2025-01-16"	"2025-01-16 13:22:41 UTC"	"St. Petersburg"	NA	NA	""	"open"	"false"	"gps"	"gps"	7525170	""	"2025-01-16 14:24:31 UTC"	"2025-01-16 15:39:21 UTC"	"research"	"CC-BY-NC"	""	2	"false"
"Vulpes vulpes"	"2025-01-14 16:05:00 +0200"	"Hunter Camera"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.5816277018	29.9534351797	""	"Red Fox"	"https://www.inaturalist.org/observations/258650230"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464115451/medium.jpeg"	"igor117"	258650230	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	1	0	"2025/01/14 16:05"	"2025-01-14"	"2025-01-14 14:05:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:19 UTC"	"2025-01-16 15:17:26 UTC"	"research"	"CC-BY"	""	NA	"false"
"Vulpes vulpes"	"2025-01-11 13:38:00 +0200"	"Hunter Camera"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.581689015	29.9533708067	""	"Red Fox"	"https://www.inaturalist.org/observations/258650229"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464114754/medium.jpg"	"igor117"	258650229	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	0	0	"2025/01/11 13:38"	"2025-01-11"	"2025-01-11 11:38:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:18 UTC"	"2025-01-16 14:25:42 UTC"	"research"	"CC-BY"	""	NA	"false"
"Vulpes vulpes"	"2025-01-10 13:49:00 +0200"	"Hunter Camera"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.5816158623	29.9534029932	""	"Red Fox"	"https://www.inaturalist.org/observations/258650225"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464114247/medium.jpeg"	"igor117"	258650225	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	1	0	"2025/01/10 13:49"	"2025-01-10"	"2025-01-10 11:49:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:17 UTC"	"2025-01-16 15:18:20 UTC"	"research"	"CC-BY"	""	NA	"false"
"Vulpes vulpes"	"2025-01-09 14:41:00 +0200"	"Hunter Camera"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.5816363	29.9533589042	""	"Red Fox"	"https://www.inaturalist.org/observations/258650224"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464114090/medium.jpg"	"igor117"	258650224	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	0	0	"2025/01/09 14:41"	"2025-01-09"	"2025-01-09 12:41:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:17 UTC"	"2025-01-16 14:26:21 UTC"	"research"	"CC-BY"	""	NA	"false"
"Vulpes vulpes"	"2025-01-09 07:53:00 +0200"	"Video: https://youtu.be/u1jcau2K7lk"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.5816567377	29.9534447349	""	"Red Fox"	"https://www.inaturalist.org/observations/258650223"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464113694/medium.jpeg"	"igor117"	258650223	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	0	0	"2025/01/09 07:53"	"2025-01-09"	"2025-01-09 05:53:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:17 UTC"	"2025-01-16 14:26:29 UTC"	"research"	"CC-BY"	""	NA	"false"
"Vulpes vulpes"	"2025-01-08 11:04:00 +0200"	"Hunter Camera"	"<U+0411><U+043E><U+0440><U+043E><U+0434><U+044F><U+043D><U+0441><U+044C><U+043A><U+0438><U+0439> <U+0440><U+0430><U+0439><U+043E><U+043D>, <U+041A><U+0438><U+0457><U+0432><U+0441><U+044C><U+043A><U+0430> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>, <U+0423><U+043A><U+0440><U+0430><U+0457><U+043D><U+0430>"	50.5816022371	29.9534125483	""	"Red Fox"	"https://www.inaturalist.org/observations/258650221"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464110712/medium.jpeg"	"igor117"	258650221	"<U+041B><U+0438><U+0441><U+0438><U+0446><U+044F> <U+0437><U+0432><U+0438><U+0447><U+0430><U+0439><U+043D><U+0430>"	"Mammalia"	42069	1	0	"2025/01/08 11:04"	"2025-01-08"	"2025-01-08 09:04:00 UTC"	"Kyiv"	100	100	""	"open"	"false"	""	""	3028032	"Igor Balashov"	"2025-01-16 13:54:16 UTC"	"2025-01-16 15:18:42 UTC"	"research"	"CC-BY"	""	NA	"false"
